Region_ID,Region,Year,Treatment,Total-City,Total(KAZ)-City,Total(RUS)-City,Total(Low)-City,Total(Low)-City %,KAZ(Low)-City,RUS(Low)-City,Total(Low-Mid)-City,KAZ(Low-Mid)-City,RUS(Low-Mid)-City,Toal(Low+Low-Mid)-City,Toal(Low+Low-Mid)-City-%,Total(Mid)-City,KAZ(Mid)-City,RUS(Mid)-City,Total(High-Mid)-City,KAZ(High-Mid)-City,RUS(High-Mid)-City,Total(High)-City,Total(High)-City-%,Total(High)-City-% of Column,KAZ(High)-City,RUS(High)-City,Total-Rural,Total(KAZ)-Rural,Total(RUS)-Rural,Total(Low)-Rural,Total(Low)-Rural-%,KAZ(Low)-Rural,RUS(Low)-Rural,Total(Low-Mid)-Rural,KAZ(Low-Mid)-Rural,RUS(Low-Mid)-Rural,Total(Mid)-Rural,KAZ(Mid)-Rural,RUS(Mid)-Rural,Total(High-Mid)-Rural,KAZ(High-Mid)-Rural,RUS(High-Mid)-Rural,Total(High)-Rural,KAZ(High)-Rural,RUS(High)-Rural,Population,Population_City,Population_Rural,New_Schools,Number_of_Schools_City,Number_of_Schools_Rural,Number_of_Students,Number_of_Students_City ,Number_of_Students_Rural,Number_of_Teachers,Percent_of_Students_Covered_Avg,Percent_of_Students_Covered_City,Percent_of_Students_Covered_Rural,Students_per_School_City,Students_per_School_Rural,Students_per_School_Total,Students_Per_Teacher,Teachers_per_School,Total_Low,Total_Low-Mid,Total_Mid,Total_High-Mid,Total_High,Low_%,Low-Mid%,Mid_%,High_Mid%,High_%
1,Akmola,2014,0,1505,648,857,73,0.05,33,40,334,140,194,407,0.27,483,222,261,272,117,155,343,0.23,0.05,136,207,1518,767,751,94,0.06,65,29,480,267,213,552,264,288,221,111,110,171,60,111,735566,346391,389175,4,109,529,106479,48029,58450,14796,106.76,121.51,92.01,441,110,167,7,23,167,814,1035,493,514,5.52%,26.93%,34.24%,16.31%,17.00%
2,Aktobe,2014,0,2649,1771,878,124,0.05,88,36,422,305,117,546,0.21,707,433,274,519,350,169,877,0.33,0.12,595,282,1859,1541,318,144,0.08,134,10,553,456,97,588,476,112,260,215,45,314,260,54,808932,498794,310138,6,99,350,117571,67611,49960,16023,105.64,114.52,96.76,683,143,262,7,36,268,975,1295,779,1191,5.94%,21.63%,28.73%,17.28%,26.42%
3,Almaty,2014,0,2462,1608,854,226,0.09,168,58,792,559,233,1018,0.41,790,494,296,353,211,142,301,0.12,0.04,176,125,7793,6291,1502,960,0.12,838,122,2979,2493,486,2432,1912,520,773,579,194,649,469,180,1984518,457716,1526802,9,108,658,312053,75226,236827,36001,111.51,126.5,96.52,697,360,407,9,47,1186,3771,3222,1126,950,11.57%,36.77%,31.42%,10.98%,9.26%
5,Astana City,2014,0,3251,1598,1653,140,0.04,83,57,516,267,249,656,0.2,936,424,512,683,331,352,976,0.3,0.13,493,483,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814435,814435,0,9,92,0,98499,98499,0,7092,55.16,110.32,0,1071,0,1071,14,77,140,516,936,683,976,4.31%,15.87%,28.79%,21.01%,30.02%
6,Atyrau,2014,0,1869,1184,685,537,0.29,408,129,669,408,261,1206,0.65,390,199,191,137,75,62,136,0.07,0.02,94,42,1930,1708,222,699,0.36,657,42,675,609,66,300,249,51,116,95,21,140,98,42,567861,265229,302632,5,64,139,97677,46192,51485,10783,108.46,125.87,91.04,722,370,481,9,53,1236,1344,690,253,276,32.53%,35.38%,18.16%,6.66%,7.27%
7,East Kazakhstan,2014,0,3608,1972,1636,283,0.08,193,90,951,474,477,1234,0.34,1070,540,530,548,276,272,756,0.21,0.1,489,267,3195,2565,630,257,0.08,235,22,1045,864,181,1188,913,275,382,301,81,323,252,71,1394018,822197,571821,14,189,535,173206,95661,77545,22033,100.09,112.58,87.6,506,145,239,8,30,540,1996,2258,930,1079,7.94%,29.34%,33.19%,13.67%,15.86%
8,Jambyl ,2014,0,2448,1740,708,202,0.08,173,29,761,604,157,963,0.39,772,520,252,381,245,136,332,0.14,0.05,198,134,4235,3758,477,810,0.19,737,73,1476,1280,196,1082,955,127,449,405,44,418,381,37,1084482,436466,648016,7,97,371,188151,73590,114561,23435,103.07,114.16,91.98,759,309,402,8,50,1012,2237,1854,830,750,15.14%,33.47%,27.74%,12.42%,11.22%
9,Karaganda,2014,0,3581,1532,2049,139,0.04,94,45,916,473,443,1055,0.29,1381,567,814,629,235,394,516,0.14,0.07,163,353,1513,1093,420,221,0.15,174,47,644,482,162,463,325,138,112,69,43,73,43,30,1369667,1077482,292185,2,237,335,178020,133300,44720,21091,96.88,101.67,92.08,562,133,311,8,37,360,1560,1844,741,589,7.07%,30.62%,36.20%,14.55%,11.56%
10,Kostanay,2014,0,1354,383,971,40,0.03,23,17,228,90,138,268,0.2,455,110,345,270,59,211,361,0.27,0.05,101,260,1374,559,815,129,0.09,97,32,488,251,237,496,135,361,167,51,116,94,25,69,880776,454634,426142,2,94,477,101691,49165,52526,14035,100.43,115.82,85.03,523,110,178,7,25,169,716,951,437,455,6.20%,26.25%,34.86%,16.02%,16.68%
11,Kyzylorda,2014,0,2001,1631,370,181,0.09,149,32,654,546,108,835,0.42,636,524,112,267,211,56,263,0.13,0.04,201,62,2996,2836,160,202,0.07,196,6,1192,1133,59,1091,1033,58,325,305,20,186,169,17,739776,316740,423036,14,65,241,127481,49363,78118,18651,96.47,94.86,98.07,759,324,417,7,61,383,1846,1727,592,449,7.66%,36.94%,34.56%,11.85%,8.99%
12,Mangystau,2014,0,1418,1117,301,112,0.08,88,24,472,378,94,584,0.41,453,365,88,206,159,47,175,0.12,0.02,127,48,1089,1071,18,102,0.09,101,1,411,406,5,393,383,10,116,114,2,67,67,0,587419,293098,294321,1,55,84,102272,50988,51284,8971,104.54,110.86,98.22,927,611,736,11,65,214,883,846,322,242,8.54%,35.22%,33.75%,12.84%,9.65%
13,North Kazakhstan,2014,0,834,252,582,38,0.05,25,13,217,83,134,255,0.31,313,90,223,139,30,109,127,0.15,0.02,24,103,1576,563,1013,99,0.06,41,58,490,177,313,582,210,372,243,79,164,162,56,106,575766,524879,227914,0,64,516,73422,27327,46095,13591,105.16,122.31,88.01,427,89,127,5,23,137,707,895,382,289,5.68%,29.34%,37.14%,15.85%,11.99%
14,Pavlodar,2014,0,2042,743,1299,109,0.05,51,58,468,180,288,577,0.28,622,229,393,369,127,242,474,0.23,0.07,156,318,1169,714,455,117,0.1,84,33,394,243,151,418,233,185,133,81,52,107,73,34,752793,1069735,1663544,2,100,321,90720,59688,31032,12177,99.24,106.44,92.04,597,97,215,7,29,226,862,1040,502,581,7.04%,26.85%,32.39%,15.63%,18.09%
16,Turkistan,2014,0,7028,5556,1472,548,0.08,490,58,1891,1562,329,2439,0.35,2269,1800,469,999,738,261,1321,0.19,0.18,966,355,11624,11011,613,1357,0.12,1303,54,4411,4208,203,3846,3640,206,1107,1035,72,903,825,78,2733279,241176,334590,27,111,837,433600,82819,350781,51965,103.95,111.66,96.23,746,419,457,8,55,1905,6302,6115,2106,2224,10.21%,33.79%,32.78%,11.29%,11.92%
17,West Kazakhstan,2014,0,1319,692,627,27,0.02,19,8,262,137,125,289,0.22,467,227,240,278,141,137,285,0.22,0.04,168,117,1988,1566,422,111,0.06,96,15,571,473,98,758,608,150,281,190,91,267,199,68,623977,307001,316976,3,64,355,89588,42077,47511,14002,112.61,136.09,89.12,657,134,214,6,33,138,833,1225,559,552,4.17%,25.19%,37.04%,16.90%,16.69%
1,Akmola,2015,0,1532,752,780,116,0.08,59,57,390,184,206,506,0.33,453,230,223,253,116,137,320,0.21,0.04,163,157,1489,886,603,156,0.1,92,64,455,262,193,517,296,221,189,123,66,172,113,59,736605,347382,389223,2,98,515,108935,49015,59920,14893.43,108.83,134.26,83.39,500,116,178,7,24,272,845,970,442,492,9.00%,27.97%,32.11%,14.63%,16.29%
2,Aktobe,2015,0,2766,2019,747,181,0.07,133,48,500,350,150,681,0.25,734,518,216,616,454,162,735,0.27,0.1,564,171,1854,1573,281,158,0.09,138,20,511,413,98,561,469,92,305,263,42,319,290,29,822522,510568,311954,5,99,344,121795,70037,51758,16128.51,105.74,115.16,96.32,707,150,275,8,36,339,1011,1295,921,1054,7.34%,21.88%,28.03%,19.94%,22.81%
3,Almaty,2015,0,2399,1711,688,149,0.06,121,28,649,457,192,798,0.33,813,589,224,409,265,144,379,0.16,0.05,279,100,6888,5722,1166,607,0.09,526,81,2195,1821,374,2457,2057,400,938,762,176,691,556,135,1922107,465804,1456303,9,107,649,318075,79371,238704,36238.06,111.6,127.69,95.51,742,368,421,9,48,756,2844,3270,1347,1070,8.14%,30.62%,35.21%,14.50%,11.52%
5,Astana City,2015,0,3398,1885,1513,178,0.05,119,59,568,278,290,746,0.22,966,492,474,686,369,317,1000,0.29,0.13,627,373,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852882,852882,0,4,96,0,109968,109968,0,7138.7,60.11,120.22,0,1146,0,1146,15,74,178,568,966,686,1000,5.24%,16.72%,28.43%,20.19%,29.43%
