Region_ID,Region,Year,Post,Total-City,Total(KAZ)-City,Total(RUS)-City,Total(Low)-City,Total(Low)-City %,KAZ(Low)-City,RUS(Low)-City,Total(Low-Mid)-City,KAZ(Low-Mid)-City,RUS(Low-Mid)-City,Toal(Low+Low-Mid)-City,Toal(Low+Low-Mid)-City-%,Total(Mid)-City,KAZ(Mid)-City,RUS(Mid)-City,Total(High-Mid)-City,KAZ(High-Mid)-City,RUS(High-Mid)-City,Total(High)-City,Total(High)-City-%,Total(High)-City-% of Column,KAZ(High)-City,RUS(High)-City,Total-Rural,Total(KAZ)-Rural,Total(RUS)-Rural,Total(Low)-Rural,Total(Low)-Rural-%,KAZ(Low)-Rural,RUS(Low)-Rural,Total(Low-Mid)-Rural,KAZ(Low-Mid)-Rural,RUS(Low-Mid)-Rural,Total(Mid)-Rural,KAZ(Mid)-Rural,RUS(Mid)-Rural,Total(High-Mid)-Rural,KAZ(High-Mid)-Rural,RUS(High-Mid)-Rural,Total(High)-Rural,KAZ(High)-Rural,RUS(High)-Rural,Population,Population_City,Population_Rural,New_Schools,Number_of_Schools_City,Number_of_Schools_Rural,Number_of_Students,Number_of_Students_City ,Number_of_Students_Rural,Number_of_Teachers,Percent_of_Students_Covered_Avg,Percent_of_Students_Covered_City,Percent_of_Students_Covered_Rural,Students_per_School_City,Students_per_School_Rural,Students_per_School_Total,Students_Per_Teacher,Teachers_per_School,Total_Low,Total_Low-Mid,Total_Mid,Total_High-Mid,Total_High,Low_%,Low-Mid%,Mid_%,High_Mid%,High_%
3,Almaty,2014,0,2462,1608,854,226,0.09,168,58,792,559,233,1018,0.41,790,494,296,353,211,142,301,0.12,0.04,176,125,7793,6291,1502,960,0.12,838,122,2979,2493,486,2432,1912,520,773,579,194,649,469,180,1984518,457716,1526802,9,108,658,312053,75226,236827,36001,111.51,126.5,96.52,697,360,407,9,47,1186,3771,3222,1126,950,11.57%,36.77%,31.42%,10.98%,9.26%
5,Astana City,2014,0,3251,1598,1653,140,0.04,83,57,516,267,249,656,0.2,936,424,512,683,331,352,976,0.3,0.13,493,483,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814435,814435,0,9,92,0,98499,98499,0,7092,55.16,110.32,0,1071,0,1071,14,77,140,516,936,683,976,4.31%,15.87%,28.79%,21.01%,30.02%
9,Karaganda,2014,0,3581,1532,2049,139,0.04,94,45,916,473,443,1055,0.29,1381,567,814,629,235,394,516,0.14,0.07,163,353,1513,1093,420,221,0.15,174,47,644,482,162,463,325,138,112,69,43,73,43,30,1369667,1077482,292185,2,237,335,178020,133300,44720,21091,96.88,101.67,92.08,562,133,311,8,37,360,1560,1844,741,589,7.07%,30.62%,36.20%,14.55%,11.56%
10,Kostanay,2014,0,1354,383,971,40,0.03,23,17,228,90,138,268,0.2,455,110,345,270,59,211,361,0.27,0.05,101,260,1374,559,815,129,0.09,97,32,488,251,237,496,135,361,167,51,116,94,25,69,880776,454634,426142,2,94,477,101691,49165,52526,14035,100.43,115.82,85.03,523,110,178,7,25,169,716,951,437,455,6.20%,26.25%,34.86%,16.02%,16.68%
3,Almaty,2015,0,2399,1711,688,149,0.06,121,28,649,457,192,798,0.33,813,589,224,409,265,144,379,0.16,0.05,279,100,6888,5722,1166,607,0.09,526,81,2195,1821,374,2457,2057,400,938,762,176,691,556,135,1922107,465804,1456303,9,107,649,318075,79371,238704,36238.06,111.6,127.69,95.51,742,368,421,9,48,756,2844,3270,1347,1070,8.14%,30.62%,35.21%,14.50%,11.52%
5,Astana City,2015,0,3398,1885,1513,178,0.05,119,59,568,278,290,746,0.22,966,492,474,686,369,317,1000,0.29,0.13,627,373,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852882,852882,0,4,96,0,109968,109968,0,7138.7,60.11,120.22,0,1146,0,1146,15,74,178,568,966,686,1000,5.24%,16.72%,28.43%,20.19%,29.43%
9,Karaganda,2015,0,3526,1695,1831,107,0.03,57,50,755,380,375,862,0.24,1373,671,702,698,315,383,593,0.17,0.08,272,321,1451,1121,330,148,0.1,121,27,571,430,141,475,377,98,157,120,37,100,73,27,1378298,1088300,289998,1,225,338,180193,136136,44057,21229.88,92.9,98.9,86.89,605,130,320,8,38,255,1326,1848,855,693,5.12%,26.64%,37.13%,17.18%,13.92%
10,Kostanay,2015,0,1322,398,924,38,0.03,13,25,260,86,174,298,0.23,466,121,345,274,80,194,284,0.21,0.04,98,186,1354,549,805,130,0.1,86,44,475,203,272,496,179,317,170,53,117,83,28,55,881456,460239,421217,1,95,470,101802,50476,51326,14127.42,98.06,114.46,81.66,531,109,180,7,25,168,735,962,444,367,6.28%,27.47%,35.95%,16.59%,13.71%
3,Almaty,2016,0,2381,1744,637,109,0.05,83,26,525,379,146,634,0.27,821,581,240,450,331,119,476,0.2,0.06,370,106,6545,5460,1085,429,0.07,352,77,1799,1513,286,2432,2046,386,1097,908,189,788,641,147,1947481,471008,1476473,6,107,652,335545,82003,253542,39424,113.05,129.35,96.74,766,389,442,9,52,538,2324,3253,1547,1264,6.03%,26.04%,36.44%,17.33%,14.16%
5,Astana City,2016,0,3782,2088,1694,150,0.04,82,68,563,229,334,713,0.19,1007,489,518,752,405,347,1310,0.35,0.15,883,427,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872619,872619,0,3,99,0,121190,121190,0,7251,54.76,109.52,0,1224,0,1224,17,73,150,563,1007,752,1310,3.97%,14.89%,26.63%,19.88%,34.64%
