Region_ID,Region,Year,Treatment,Total-City,Total(KAZ)-City,Total(RUS)-City,Total(Low)-City,Total(Low)-City %,KAZ(Low)-City,RUS(Low)-City,Total(Low-Mid)-City,KAZ(Low-Mid)-City,RUS(Low-Mid)-City,Toal(Low+Low-Mid)-City,Toal(Low+Low-Mid)-City-%,Total(Mid)-City,KAZ(Mid)-City,RUS(Mid)-City,Total(High-Mid)-City,KAZ(High-Mid)-City,RUS(High-Mid)-City,Total(High)-City,Total(High)-City-%,Total(High)-City-% of Column,KAZ(High)-City,RUS(High)-City,Total-Rural,Total(KAZ)-Rural,Total(RUS)-Rural,Total(Low)-Rural,Total(Low)-Rural-%,KAZ(Low)-Rural,RUS(Low)-Rural,Total(Low-Mid)-Rural,KAZ(Low-Mid)-Rural,RUS(Low-Mid)-Rural,Total(Mid)-Rural,KAZ(Mid)-Rural,RUS(Mid)-Rural,Total(High-Mid)-Rural,KAZ(High-Mid)-Rural,RUS(High-Mid)-Rural,Total(High)-Rural,KAZ(High)-Rural,RUS(High)-Rural,Population,Population_City,Population_Rural,New_Schools,Number_of_Schools_City,Number_of_Schools_Rural,Number_of_Students,Number_of_Students_City ,Number_of_Students_Rural,Number_of_Teachers,Percent_of_Students_Covered_Avg,Percent_of_Students_Covered_City,Percent_of_Students_Covered_Rural,Students_per_School_City,Students_per_School_Rural,Students_per_School_Total,Students_Per_Teacher,Teachers_per_School,Total_Low,Total_Low-Mid,Total_Mid,Total_High-Mid,Total_High,Low_%,Low-Mid%,Mid_%,High_Mid%,High_%
2,Aktobe,2014,0,2649,1771,878,124,0.05,88,36,422,305,117,546,0.21,707,433,274,519,350,169,877,0.33,0.12,595,282,1859,1541,318,144,0.08,134,10,553,456,97,588,476,112,260,215,45,314,260,54,808932,498794,310138,6,99,350,117571,67611,49960,16023,105.64,114.52,96.76,683,143,262,7,36,268,975,1295,779,1191,5.94%,21.63%,28.73%,17.28%,26.42%
5,Astana City,2014,0,3251,1598,1653,140,0.04,83,57,516,267,249,656,0.2,936,424,512,683,331,352,976,0.3,0.13,493,483,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814435,814435,0,9,92,0,98499,98499,0,7092,55.16,110.32,0,1071,0,1071,14,77,140,516,936,683,976,4.31%,15.87%,28.79%,21.01%,30.02%
9,Karaganda,2014,0,3581,1532,2049,139,0.04,94,45,916,473,443,1055,0.29,1381,567,814,629,235,394,516,0.14,0.07,163,353,1513,1093,420,221,0.15,174,47,644,482,162,463,325,138,112,69,43,73,43,30,1369667,1077482,292185,2,237,335,178020,133300,44720,21091,96.88,101.67,92.08,562,133,311,8,37,360,1560,1844,741,589,7.07%,30.62%,36.20%,14.55%,11.56%
2,Aktobe,2015,0,2766,2019,747,181,0.07,133,48,500,350,150,681,0.25,734,518,216,616,454,162,735,0.27,0.1,564,171,1854,1573,281,158,0.09,138,20,511,413,98,561,469,92,305,263,42,319,290,29,822522,510568,311954,5,99,344,121795,70037,51758,16128.51,105.74,115.16,96.32,707,150,275,8,36,339,1011,1295,921,1054,7.34%,21.88%,28.03%,19.94%,22.81%
5,Astana City,2015,0,3398,1885,1513,178,0.05,119,59,568,278,290,746,0.22,966,492,474,686,369,317,1000,0.29,0.13,627,373,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852882,852882,0,4,96,0,109968,109968,0,7138.7,60.11,120.22,0,1146,0,1146,15,74,178,568,966,686,1000,5.24%,16.72%,28.43%,20.19%,29.43%
9,Karaganda,2015,0,3526,1695,1831,107,0.03,57,50,755,380,375,862,0.24,1373,671,702,698,315,383,593,0.17,0.08,272,321,1451,1121,330,148,0.1,121,27,571,430,141,475,377,98,157,120,37,100,73,27,1378298,1088300,289998,1,225,338,180193,136136,44057,21229.88,92.9,98.9,86.89,605,130,320,8,38,255,1326,1848,855,693,5.12%,26.64%,37.13%,17.18%,13.92%
2,Aktobe,2016,0,2680,1928,752,169,0.06,130,39,536,335,201,705,0.26,782,526,256,469,336,133,724,0.27,0.09,601,123,1918,1693,225,160,0.08,148,12,489,414,75,583,495,88,276,255,21,410,381,29,834768,521180,313588,6,102,336,126386,72732,53654,16920,105.95,115.61,96.28,713,160,289,7,39,329,1025,1365,745,1134,7.16%,22.29%,29.69%,16.20%,24.66%
5,Astana City,2016,0,3782,2088,1694,150,0.04,82,68,563,229,334,713,0.19,1007,489,518,752,405,347,1310,0.35,0.15,883,427,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872619,872619,0,3,99,0,121190,121190,0,7251,54.76,109.52,0,1224,0,1224,17,73,150,563,1007,752,1310,3.97%,14.89%,26.63%,19.88%,34.64%
9,Karaganda,2016,0,3090,1573,1517,65,0.02,33,32,579,291,288,644,0.21,1233,636,597,585,284,301,628,0.2,0.07,329,299,1385,1039,346,110,0.08,81,29,472,339,133,487,376,111,191,153,38,125,90,35,1384889,1096792,288097,4,235,323,183133,139212,43921,21662,97.96,107.17,88.75,592,136,328,8,39,175,1051,1720,776,753,3.91%,23.49%,38.44%,17.34%,16.83%
2,Aktobe,2017,0,2808,2119,689,336,0.12,248,88,578,374,204,914,0.33,1100,804,296,792,692,100,27,0.01,0.05,1,1,2037,1842,195,280,0.14,249,31,473,411,62,795,712,83,475,456,19,14,14,14,845679,531748,313931,11,102,330,131741,78194,53547,16747,105.3,115.72,94.87,767,162,305,8,39,616,1051,1895,1267,41,12.71%,21.69%,39.11%,26.15%,0.85%
